COMMODITY_DESC,unidades_reales,baseline_total,incremental,n_observaciones,pct_incremental
AIR CARE,1121,772.5338,348.4661947488785,389,31.085298371889248
ANALGESICS,1069,689.4693,379.53069788217545,452,35.50333937157862
APPLES,5745,3585.7827,2159.2172998785973,1699,37.58428720415313
AUDIO/VIDEO PRODUCTS,254,222.03828,31.96171772480011,204,12.583353434960673
BABY HBC,768,584.829,183.17102199792862,358,23.850393489313625
BACON,11396,7072.922,4323.078178346157,3898,37.935048950036474
BAG SNACKS,67112,27135.426,39976.57344222069,7385,59.56695291783986
BAKED BREAD/BUNS/ROLLS,83079,36780.707,46298.292481303215,7804,55.72803293407866
BAKED SWEET GOODS,11820,6575.4775,5244.52258336544,2170,44.36990341256718
BAKING MIXES,7055,3932.413,3122.5868480205536,1304,44.26062151694619
BAKING NEEDS,5318,2369.8506,2948.1493775844574,914,55.437182730057486
BATH TISSUES,7256,4364.9644,2891.0358233451843,2459,39.84338235040221
BATTERIES,1077,969.1517,107.8482985496521,631,10.013769596067975
BEANS - CANNED GLASS & MW,4603,2630.648,1972.3519829511642,972,42.849271843388316
BEEF,53207,19135.596,34071.40483772755,6705,64.03556832320474
BEERS/ALES,8163,4699.949,3463.051014661789,2417,42.423753701602216
BERRIES,4795,2775.0974,2019.9025061130524,1268,42.12518260923988
BLEACH,716,604.85046,111.14955496788025,408,15.52368086143579
BREAD,1156,850.84,305.15997862815857,440,26.397922026657316
BREAKFAST SAUSAGE/SANDWICHES,11671,6451.4956,5219.504347622395,3565,44.72199766620165
BREAKFAST SWEETS,4371,2958.3967,1412.6032453775406,1327,32.317621719916275
BROCCOLI/CAULIFLOWER,2062,1650.641,411.35898184776306,1019,19.949514153625756
BUTTER,2703,1921.9105,781.0895128250122,1165,28.897133289863568
CAKES,622,478.6825,143.31751883029938,325,23.04140174120569
CANDY - CHECKLANE,41689,16654.469,25034.53030359745,4717,60.05068556117309
CANDY - PACKAGED,29382,12836.851,16545.149173617363,4260,56.31049340962958
CANNED JUICES,15677,8321.629,7355.371369361877,2790,46.91823288487515
CARROTS,1259,993.2546,265.74544048309326,559,21.10766008602806
CAT FOOD,2340,1009.58826,1330.4117126464844,242,56.8552013951489
CEREAL/BREAKFAST,698,605.9715,92.02848982810974,398,13.184597396577328
CHARCOAL AND LIGHTER FLUID,518,429.82608,88.17390596866608,290,17.021989569240557
CHEESE,81889,27718.592,54170.40754556656,7544,66.15101850745101
CHEESES,3130,2286.145,843.8550122380257,1038,26.96022403316376
CHICKEN,19055,9222.694,9832.305281758308,4507,51.599607881177164
CHICKEN/POULTRY,2292,1668.0942,623.9058178663254,1086,27.221021721916465
CHIPS&SNACKS,728,735.02985,-7.02984881401062,437,-0.9656385733531071
CHRISTMAS  SEASONAL,1642,946.5308,695.4691984653473,387,42.35500599667157
CITRUS,4763,2322.2844,2440.71550655365,704,51.243239692497376
COCOA MIXES,771,665.6525,105.34747976064682,361,13.66374575365069
COFFEE,3674,2201.359,1472.6410188674927,1185,40.08277133553328
COLD AND FLU,1856,1295.7909,560.2090811729431,701,30.183678942507715
COLD CEREAL,26292,12084.669,14207.330600142479,4469,54.03670546227932
CONDIMENTS/SAUCES,10443,6053.919,4389.081095218658,2328,42.0289293806249
CONVENIENT BRKFST/WHLSM SNACKS,12675,6804.747,5870.252844452858,2616,46.31363190889829
COOKIES,2526,2050.7786,475.22155034542084,1303,18.81320468509188
COOKIES/CONES,15093,9035.801,6057.198965549469,3727,40.13250490657569
CORN,4793,2397.6228,2395.3771076202393,451,49.97657224327643
CRACKERS/MISC BKD FD,23759,13090.592,10668.408254146576,5163,44.90259798032988
DELI MEATS,13373,7175.0615,6197.938672423363,3158,46.34665873344323
DEODORANTS,790,599.7066,190.2934255003929,350,24.08777537979657
DIAPERS & DISPOSABLES,1535,1161.9478,373.0522989630699,853,24.30308136567231
DINNER MXS:DRY,10318,5425.0396,4892.960211157799,1694,47.4215953785404
DINNER SAUSAGE,9670,5473.3984,4196.601687192917,2938,43.39815602060927
DISHWASH DETERGENTS,608,502.5056,105.49438083171844,285,17.35104947890106
DOG FOODS,2715,998.89777,1716.1022285223007,464,63.20818521260776
DOMESTIC WINE,2425,998.6421,1426.35788667202,576,58.81888192461938
DRIED FRUIT,648,609.6206,38.379422545433044,339,5.922750392813741
DRY BN/VEG/POTATO/RICE,5555,2700.2405,2854.759499311447,888,51.390810068612915
DRY MIX DESSERTS,2916,1778.444,1137.5560212135315,707,39.01083749017597
DRY NOODLES/PASTA,1449,953.23505,495.7649738788605,339,34.21428391158457
DRY SAUCES/GRAVY,1834,1058.245,775.7550019025803,406,42.298527911809174
EGGS,16344,9879.307,6464.693819999695,3498,39.55392694566627
ELECTRICAL SUPPPLIES,493,481.36853,11.631485223770142,228,2.3593276315963774
FACIAL TISS/DNR NAPKIN,1601,999.56287,601.4371287822723,469,37.56634158540115
FD WRAPS/BAGS/TRSH BG,3055,1929.1262,1125.8738003969193,937,36.85347955472731
FEMININE HYGIENE,944,801.8576,142.1423977613449,445,15.057457389972978
FILM AND CAMERA PRODUCTS,348,319.19855,28.801461279392242,235,8.27628197683685
FITNESS&DIET,1786,688.0676,1097.9323509931564,298,61.47437575549588
FLORAL-FRESH CUT,635,507.53162,127.46839791536331,335,20.073763451238317
FLUID MILK PRODUCTS,85201,31188.816,54012.183562994,6331,63.39383758757996
FROZEN - BOXED(GROCERY),444,375.5659,68.4341122508049,273,15.413088344775879
FROZEN BREAD/DOUGH,1592,1298.3954,293.6046048402786,653,18.4425003040376
FROZEN MEAT,4870,2653.3152,2216.6847323179245,1554,45.51714029400256
FROZEN PIE/DESSERTS,3810,2342.7297,1467.2701578140259,1222,38.51102776414766
FROZEN PIZZA,49767,18514.24,31252.759434103966,5227,62.79815828581985
FRUIT - SHELF STABLE,9132,5193.275,3938.7252811193466,1527,43.1310258554462
FRZN BREAKFAST FOODS,4839,3365.596,1473.404066324234,1458,30.448523792606615
FRZN MEAT/MEAT DINNERS,56161,21751.195,34409.805616259575,4749,61.26993040768429
FRZN NOVELTIES/WTR ICE,7561,4709.6655,2851.334505200386,2116,37.71107664595141
FRZN POTATOES,3015,2269.7803,745.219694852829,1150,24.717071139397312
FRZN VEGETABLE/VEG DSH,16637,8114.6084,8522.391580104828,2655,51.22553092567668
GRAPES,4487,3075.5938,1411.4063199162483,1717,31.45545620495316
HAIR CARE PRODUCTS,3807,2267.7568,1539.2430760860443,1093,40.431916892199744
HEAT/SERVE,4087,2818.3457,1268.6541836857796,1796,31.04120831137214
HISPANIC,3304,1782.5437,1521.4562984704971,514,46.04891944523297
HOT CEREAL,1178,901.4615,276.5385345220566,496,23.475257599495468
HOT DOGS,11282,6693.885,4588.115084767342,3166,40.6675685584767
HOUSEHOLD CLEANG NEEDS,1138,743.9443,394.0557346343994,343,34.627041707767965
ICE CREAM/MILK/SHERBTS,21988,9975.199,12012.801119446754,4957,54.633441511036715
IMPORTED WINE,652,412.69498,239.30502486228943,253,36.70322467213028
ISOTONIC DRINKS,6738,3384.6233,3353.3767338991165,1296,49.768131996128176
KITCHEN GADGETS,347,319.42078,27.5792139172554,202,7.947900264338732
LAUNDRY ADDITIVES,587,481.07227,105.92774254083633,320,18.04561201717825
LAUNDRY DETERGENTS,3580,2467.5398,1112.4601780176163,1705,31.074306648536766
LUNCHMEAT,27290,12858.415,14431.585326552391,3973,52.88232072756465
MAKEUP AND TREATMENT,1689,1083.0509,605.9491319656372,603,35.876206747521444
MARGARINES,3675,2508.6855,1166.314514040947,1134,31.73644936165842
MEAT - MISC,7508,4764.8584,2743.1416224241257,3060,36.53624963271345
MEAT - SHELF STABLE,18706,9904.336,8801.664101839066,2284,47.05262537067821
MELONS,2812,2142.3208,669.6791964173317,1232,23.815049659222325
MILK BY-PRODUCTS,13457,8099.169,5357.83103877306,3287,39.81445373242966
MISC. DAIRY,698,458.29214,239.70784974098206,231,34.34209881675961
MISCELLANEOUS,796,744.90656,51.093452632427216,516,6.4187754563350765
MUSHROOMS,1174,852.0662,321.9337860941887,605,27.42195792965832
NUTS,586,499.29236,86.70764088630676,386,14.796525748516512
ONIONS,2280,1529.0933,750.9067344665527,695,32.93450589765582
ORAL HYGIENE PRODUCTS,3783,2340.1387,1442.8612192869186,1123,38.14066136100763
ORGANICS FRUIT & VEGETABLES,646,443.03827,202.96171975135803,225,31.41822287172725
PAPER HOUSEWARES,1868,1209.2893,658.7106504440308,562,35.26288278608302
PAPER TOWELS,2744,1710.7323,1033.2676973342896,914,37.6555283285091
PASTA SAUCE,4239,2621.7532,1617.2469195127487,1050,38.15161404842531
PEARS,349,393.7987,-44.79869890213013,250,-12.836303410352473
PEPPERS-ALL,1888,1096.1637,791.8363181352615,492,41.940482952079535
PICKLE/RELISH/PKLD VEG,549,428.0233,120.9767142534256,243,22.035831375851657
PIES,1253,946.52246,306.4775623679161,784,24.45950218419123
PLASTIC HOUSEWARES,697,548.58966,148.41035079956055,310,21.292733256751873
PNT BTR/JELLY/JAMS,4857,3022.5906,1834.4094091057777,1584,37.76836337462997
POPCORN,964,707.9006,256.09945344924927,442,26.566333345357805
PORK,12506,7059.775,5446.22500371933,3955,43.548896559406124
POTATOES,4116,2547.241,1568.7589973211288,1222,38.113678263389914
PREPARED FOOD,498,357.65317,140.3468278646469,244,28.18209394872428
PROCESSED,685,546.0418,138.9581629037857,337,20.28586319763295
PWDR/CRYSTL DRNK MX,6654,3848.4717,2805.5282366275787,641,42.163033312707825
REFRGRATD DOUGH PRODUCTS,14072,7807.039,6264.960819363594,3051,44.520756249030654
REFRGRATD JUICES/DRNKS,24090,11853.934,12236.066476464272,4546,50.793136058382196
REFRIGERATED,1096,632.7446,463.25538098812103,289,42.2678267324928
ROLLS,1256,990.35114,265.64884102344513,555,21.150385431802956
SALAD MIX,11458,6846.5703,4611.429848074913,3377,40.24637675052289
SALADS/DIPS,1668,1203.5465,464.45348167419434,676,27.844932954088392
SALD DRSNG/SNDWCH SPRD,11107,6760.2344,4346.765609025955,2900,39.13537056834389
SEAFOOD - FROZEN,6572,3573.7122,2998.2879016399384,2311,45.622153098599185
SEAFOOD - SHELF STABLE,4937,2950.5603,1986.4396905899048,805,40.23576444378985
SEAFOOD-FRESH,1293,913.95844,379.041587471962,588,29.314894622734876
SHAVING CARE PRODUCTS,715,497.9409,217.0591138601303,335,30.357918022395847
SHORTENING/OIL,1944,1455.8425,488.1575041413307,867,25.11098272331948
SMOKED MEATS,908,545.86426,362.1357604265213,451,39.88279299851556
SNACK NUTS,1185,855.9318,329.068147957325,530,27.76946396264346
SNACKS,389,333.28888,55.711132407188416,246,14.321627868171829
SOAP - LIQUID & BAR,2384,1562.9088,821.0911299586296,891,34.441742028466
SOFT DRINKS,142408,41239.234,101168.76625871658,8290,71.04149082826568
SOUP,36829,15439.6045,21389.39503121376,2501,58.07758839831047
SPICES & EXTRACTS,2737,1745.1649,991.8350377082825,832,36.23803572189559
SPRING/SUMMER SEASONAL,427,330.31433,96.68567132949829,217,22.643014362880162
STATIONERY & SCHOOL SUPPLIES,1809,629.89996,1179.1000083684921,311,65.17965773181272
STONE FRUIT,2735,1737.1586,997.8414280414581,901,36.484147277567025
SUGARS/SWEETNERS,2690,1511.4958,1178.5041370987892,830,43.81056271742711
TOMATOES,5071,3481.4133,1589.586651802063,1721,31.346611157603295
TOYS AND GAMES,711,453.07336,257.9266491532326,290,36.276603256432146
TROPICAL FRUIT,9592,5802.1436,3789.856383085251,1775,39.51059615393297
TURKEY,897,595.0777,301.92230117321014,410,33.65911941730325
VEGETABLES - ALL OTHERS,4383,2868.7014,1514.298704624176,979,34.54936583673685
VEGETABLES - SHELF STABLE,36005,17742.533,18262.467486977577,2978,50.72203162610076
VITAMINS,849,489.08224,359.91775596141815,334,42.39313968921297
WAREHOUSE SNACKS,4358,2547.9167,1810.0831946134567,1296,41.53472222610043
WATER,1998,1013.4165,984.5834832191467,453,49.278452613570906
WATER - CARBONATED/FLVRD DRINK,10826,6131.7314,4694.268691658974,2112,43.361063104184126
YOGURT,36990,21550.48,15439.520124435425,2787,41.73971377246668
