COMMODITY_DESC,encarecido,normal,rebajado,efecto_rebaja_pct,n_total,n_rebajado
CORN,4.593543046357616,2.2253521126760565,5.548233695652174,149.31936227297743,2751,1472
NO COMMODITY DESCRIPTION,1.9224489795918367,1.1739441660701504,2.3291770573566084,98.40611884921839,2288,401
INFANT FORMULA,2.9450549450549453,1.886584289496911,3.606986899563319,91.19139916749661,2859,229
KITCHEN GADGETS,1.371212121212121,1.106907894736842,1.6137931034482758,45.792898498744684,2233,145
SOUP,1.9114156777536353,1.6710143008474576,2.400060569351908,43.62896643880987,46097,9906
CHRISTMAS  SEASONAL,1.5915841584158417,1.49703331811958,2.1330798479087454,42.48713252341649,2858,263
GREETING CARDS/WRAP/PARTY SPLY,1.2903225806451613,1.1495472186287192,1.62,40.92505064145848,11707,50
PLASTIC HOUSEWARES,1.5,1.256896551724138,1.732360097323601,37.8283753700533,2583,411
SWEET GOODS & SNACKS,1.2345679012345678,1.1550836550836552,1.5342465753424657,32.82558095165411,1708,73
DOMESTIC GOODS,1.5932203389830508,1.3944223107569722,1.830188679245283,31.25067385444744,844,106
PAPER TOWELS,1.4223076923076923,1.2750174947515744,1.666574661882418,30.709944666848266,10639,3623
DRY SAUCES/GRAVY,1.6988950276243093,1.5510428100987925,2.0,28.945506015569713,8195,1643
DOG FOODS,1.9663110612015722,1.5094580480445632,1.9398809523809524,28.5150624022962,12078,1680
BATH TISSUES,1.3912195121951219,1.1137450834484959,1.409249902837155,26.532536374812608,14030,2573
APPAREL,1.3008849557522124,1.2079510703363914,1.5245901639344261,26.212907242166427,501,61
FRZN JCE CONC/DRNKS,1.9427860696517414,1.630195599022005,2.0440414507772022,25.38626972146616,2810,772
CITRUS,2.2434340581756564,2.004380475594493,2.5109020949123555,25.270732053385725,11415,4678
STATIONERY & SCHOOL SUPPLIES,1.4609595484477893,1.2846314193670647,1.587719298245614,23.593372722261474,6796,456
CANDLES/ACCESSORIES,1.501779359430605,1.4377797672336616,1.768421052631579,22.99665727207183,1588,190
SPRING/SUMMER SEASONAL,1.2583892617449663,1.228737113402062,1.5038167938931297,22.3871874211923,2112,262
PREPARED/PKGD FOODS,1.4158415841584158,1.293833131801693,1.5714285714285714,21.455273698264342,991,63
CHARCOAL AND LIGHTER FLUID,1.3825301204819278,1.091993185689949,1.3089005235602094,19.863433280786722,2284,191
DELI SUPPLIES,1.0765027322404372,1.0666666666666667,1.2666666666666666,18.75,573,345
HISPANIC,1.2651552488910793,1.3003443708609272,1.5159487010851693,16.580556278449187,23945,3041
COCOA MIXES,1.1320973348783314,1.1258127438231469,1.3060109289617485,16.00605306053533,4305,366
