household_key,gasto_total,n_visitas,descuento_medio,pct_compras_promo,pct_marca_blanca,ticket_medio,gasto_por_visita,canjea_cupones,cluster,segmento,clv_12m,nivel_valor,descuento_recibido
1,4330.16,85,0.11022615439779716,0.4381956649091974,0.11775043936731107,2.5367076742823667,50.94305882352941,1,0,Premium,2175.36326480524,Alto,685.07
2,1954.34,45,0.12358910553929811,0.44803370786516855,0.23595505617977527,2.7448595505617974,43.42977777777777,0,0,Premium,1080.8435892544553,Medio,333.5
3,2653.21,47,0.1569917747719753,0.5397170837867247,0.18607181719260066,2.8870620239390643,56.45127659574468,0,0,Premium,1487.7450457585812,Medio,668.2800000000002
4,1200.1100000000001,30,0.09608027733625732,0.4166666666666667,0.15333333333333332,4.000366666666667,40.00366666666667,0,1,Indiferente al precio,599.3920457334851,Bajo,115.65
5,779.0600000000001,40,0.12253810973889921,0.5180180180180181,0.21621621621621623,3.5092792792792795,19.4765,0,4,Rutinario,430.34304846180447,Bajo,118.33000000000003
6,5996.16,249,0.10643973695006585,0.3531723750701853,0.24649073554183043,3.3667377877596856,24.080963855421686,0,1,Indiferente al precio,3339.7080327337035,Alto,825.1499999999999
7,3400.05,59,0.11416497116835916,0.4300234558248632,0.4034401876465989,2.6583659108678654,57.627966101694916,0,0,Premium,1638.9562400876075,Medio,479.02000000000004
8,5534.97,113,0.13726866745625954,0.4979612640163099,0.23649337410805302,2.821085626911315,48.98203539823009,1,0,Premium,2738.91375700675,Alto,1056.9499999999996
9,797.42,20,0.14573593274051347,0.54337899543379,0.319634703196347,3.641187214611872,39.870999999999995,0,4,Rutinario,459.1491972586317,Bajo,177.81
10,234.34,9,0.08048064298931154,0.3142857142857143,0.34285714285714286,3.347714285714286,26.037777777777777,0,1,Indiferente al precio,135.64345976841767,Bajo,24.84
11,33.39,5,0.20635006944018205,0.6666666666666666,0.3888888888888889,1.855,6.678,0,2,Cazador de ofertas,18.063109641407827,Bajo,10.98
12,266.21,7,0.10074742933500071,0.42045454545454547,0.25,3.025113636363636,38.029999999999994,0,1,Indiferente al precio,139.0750360923282,Bajo,32.7
13,13190.92,275,0.1260015420404756,0.49825479930191974,0.30977312390924955,5.755200698080279,47.96698181818182,1,3,Intensivo,7186.782872251148,Alto,1621.19999999999
14,2761.19,138,0.17719393404857028,0.5942668136714443,0.3241455347298787,3.044310915104741,20.008623188405796,1,2,Cazador de ofertas,1284.6639889389064,Medio,582.1000000000028
